Condition,Time,Event,PosX,PosY,PosZ,Overshoots,Corrections,EntryCount
HeavyVisual_LightHaptic,31.67616,TRIAL_START,0.5,0.15,0.5,0,0,0
HeavyVisual_LightHaptic,31.69753,MOVING,0.5,0.146561,0.5,0,0,0
HeavyVisual_LightHaptic,31.70261,MOVING,0.5,0.1450529,0.5,0,0,0
HeavyVisual_LightHaptic,31.71721,MOVING,0.5,0.1393322,0.5,0,0,0
HeavyVisual_LightHaptic,31.73063,MOVING,0.5,0.1319912,0.5,0,0,0
HeavyVisual_LightHaptic,31.74442,MOVING,0.5,0.1230276,0.5,0,0,0
HeavyVisual_LightHaptic,31.7578,MOVING,0.5,0.1125511,0.5,0,0,0
HeavyVisual_LightHaptic,31.77116,MOVING,0.5,0.09991351,0.5,0,0,0
HeavyVisual_LightHaptic,31.78621,MOVING,0.5,0.08398215,0.5,0,0,0
HeavyVisual_LightHaptic,31.79893,MOVING,0.5,0.06906402,0.5,0,0,0
HeavyVisual_LightHaptic,31.81267,MOVING,0.5,0.05046415,0.5,0,0,0
HeavyVisual_LightHaptic,31.82738,MOVING,0.5,0.02889878,0.5,0,0,0
HeavyVisual_LightHaptic,31.84094,MOVING,0.5,0.007530082,0.5,0,0,0
HeavyVisual_LightHaptic,31.85357,MOVING,0.5,-0.01465075,0.5,0,0,0
HeavyVisual_LightHaptic,31.86727,MOVING,0.5,-0.04013359,0.5,0,0,0
HeavyVisual_LightHaptic,31.88131,MOVING,0.5,-0.06779301,0.5,0,0,0
HeavyVisual_LightHaptic,31.89565,MOVING,0.5,-0.0985473,0.5,0,0,0
HeavyVisual_LightHaptic,31.90998,MOVING,0.5,-0.1312355,0.5,0,0,0
HeavyVisual_LightHaptic,31.92276,MOVING,0.5,-0.1616693,0.5,0,0,0
HeavyVisual_LightHaptic,31.93668,MOVING,0.5,-0.1969145,0.5,0,0,0
HeavyVisual_LightHaptic,31.95035,MOVING,0.4999998,-0.2031065,0.4999999,0,0,0
HeavyVisual_LightHaptic,31.96447,MOVING,0.49999,-0.2008717,0.4999959,0,1,0
HeavyVisual_LightHaptic,31.9783,MOVING,0.4999602,-0.2002871,0.4999837,0,1,0
HeavyVisual_LightHaptic,31.99201,MOVING,0.4999643,-0.2001134,0.4999775,0,1,0
HeavyVisual_LightHaptic,32.00648,MOVING,0.4999759,-0.2000336,0.4999783,0,1,0
HeavyVisual_LightHaptic,32.02046,MOVING,0.4999895,-0.200009,0.4999869,0,1,0
HeavyVisual_LightHaptic,32.03399,MOVING,0.4999956,-0.200004,0.499994,0,1,0
HeavyVisual_LightHaptic,32.04772,MOVING,0.4999992,-0.2000012,0.4999987,0,2,0
HeavyVisual_LightHaptic,32.06177,MOVING,0.5000005,-0.2000003,0.5000011,0,3,0
HeavyVisual_LightHaptic,32.07576,MOVING,0.5000005,-0.2000001,0.5000012,0,4,0
HeavyVisual_LightHaptic,32.08927,MOVING,0.5000004,-0.2000001,0.5000008,0,5,0
HeavyVisual_LightHaptic,32.10334,MOVING,0.5000001,-0.2,0.5000004,0,6,0
