Condition,Time,Event,PosX,PosY,PosZ,Overshoots,Corrections,EntryCount
MediumVisual_LightHaptic,10.30653,TRIAL_START,0.0,0.15,0.5,0,0,0
MediumVisual_LightHaptic,10.32008,MOVING,0.0,0.149984,0.5,0,0,0
MediumVisual_LightHaptic,10.32699,MOVING,0.0,0.1486298,0.5,0,0,0
MediumVisual_LightHaptic,10.34063,MOVING,0.0,0.1458322,0.5,0,0,0
MediumVisual_LightHaptic,10.35384,MOVING,0.0,0.1406571,0.5,0,0,0
MediumVisual_LightHaptic,10.36864,MOVING,0.0,0.1331684,0.5,0,0,0
MediumVisual_LightHaptic,10.38534,MOVING,0.0,0.1223105,0.5,0,0,0
MediumVisual_LightHaptic,10.4,MOVING,0.0,0.1108304,0.5,0,0,0
MediumVisual_LightHaptic,10.41469,MOVING,0.0,0.09646709,0.5,0,0,0
MediumVisual_LightHaptic,10.42913,MOVING,0.0,0.08056093,0.5,0,0,0
MediumVisual_LightHaptic,10.44426,MOVING,0.0,0.06198689,0.5,0,0,0
MediumVisual_LightHaptic,10.45858,MOVING,0.0,0.04239353,0.5,0,0,0
MediumVisual_LightHaptic,10.47272,MOVING,0.0,0.02057454,0.5,0,0,0
MediumVisual_LightHaptic,10.48724,MOVING,0.0,-0.003520417,0.5,0,0,0
MediumVisual_LightHaptic,10.50169,MOVING,0.0,-0.02924494,0.5,0,0,0
MediumVisual_LightHaptic,10.51563,MOVING,0.0,-0.05643627,0.5,0,0,0
MediumVisual_LightHaptic,10.5316,MOVING,0.0,-0.0898628,0.5,0,0,0
MediumVisual_LightHaptic,10.54414,MOVING,0.0,-0.1175599,0.5,0,0,0
MediumVisual_LightHaptic,10.55812,MOVING,0.0,-0.1502458,0.5,0,0,0
MediumVisual_LightHaptic,10.57187,MOVING,0.0,-0.1847322,0.5,0,0,0
MediumVisual_LightHaptic,10.586,MOVING,0.0,-0.2216735,0.5,0,0,0
MediumVisual_LightHaptic,10.60005,MOVING,0.0,-0.2599974,0.5,0,0,0
MediumVisual_LightHaptic,10.61396,MOVING,0.0,-0.30061,0.5,0,0,0
MediumVisual_LightHaptic,10.62774,MOVING,0.0,-0.3423268,0.5,0,0,0
