Condition,Time,Event,PosX,PosY,PosZ,Overshoots,Corrections,EntryCount
MediumVisual_LightHaptic,19.386,TRIAL_START,0.0,0.15,0.5,0,0,0
MediumVisual_LightHaptic,19.40721,MOVING,0.0,0.148585,0.5,0,0,0
MediumVisual_LightHaptic,19.41245,MOVING,0.0,0.1475589,0.5,0,0,0
MediumVisual_LightHaptic,19.42692,MOVING,0.0,0.1433673,0.5,0,0,0
MediumVisual_LightHaptic,19.44072,MOVING,0.0,0.1378164,0.5,0,0,0
MediumVisual_LightHaptic,19.45434,MOVING,0.0,0.1298135,0.5,0,0,0
MediumVisual_LightHaptic,19.47065,MOVING,0.0,0.1181544,0.5,0,0,0
MediumVisual_LightHaptic,19.48278,MOVING,0.0,0.1081113,0.5,0,0,0
MediumVisual_LightHaptic,19.49533,MOVING,0.0,0.09584336,0.5,0,0,0
MediumVisual_LightHaptic,19.50875,MOVING,0.0,0.08101126,0.5,0,0,0
MediumVisual_LightHaptic,19.52533,MOVING,0.0,0.06051129,0.5,0,0,0
MediumVisual_LightHaptic,19.53896,MOVING,0.0,0.04186919,0.5,0,0,0
MediumVisual_LightHaptic,19.55279,MOVING,0.0,0.02045936,0.5,0,0,0
MediumVisual_LightHaptic,19.56682,MOVING,0.0,-0.002791474,0.5,0,0,0
MediumVisual_LightHaptic,19.57954,MOVING,0.0,-0.02514589,0.5,0,0,0
MediumVisual_LightHaptic,19.59477,MOVING,0.0,-0.05476936,0.5,0,0,0
MediumVisual_LightHaptic,19.60976,MOVING,0.0,-0.08591807,0.5,0,0,0
MediumVisual_LightHaptic,19.62397,MOVING,0.0,-0.1171747,0.5,0,0,0
MediumVisual_LightHaptic,19.63737,MOVING,0.0,-0.1485093,0.5,0,0,0
MediumVisual_LightHaptic,19.65147,MOVING,0.0,-0.183709,0.5,0,0,0
MediumVisual_LightHaptic,19.6666,MOVING,0.0,-0.223327,0.5,0,0,0
MediumVisual_LightHaptic,19.68112,MOVING,0.0,-0.2631082,0.5,0,0,0
MediumVisual_LightHaptic,19.69595,MOVING,0.0,-0.3064279,0.5,0,0,0
MediumVisual_LightHaptic,19.71075,MOVING,0.0,-0.3517133,0.5,0,0,0
MediumVisual_LightHaptic,19.72515,MOVING,0.0,-0.3975304,0.5,0,0,0
MediumVisual_LightHaptic,19.7396,MOVING,0.0,-0.4452773,0.5,0,0,0
MediumVisual_LightHaptic,19.75493,MOVING,-3.527056e-07,-0.448625,0.4999999,0,0,0
MediumVisual_LightHaptic,19.76993,MOVING,-3.716631e-07,-0.4495883,0.4999998,0,0,0
MediumVisual_LightHaptic,19.78357,MOVING,-2.32533e-07,-0.449883,0.4999999,0,0,0
MediumVisual_LightHaptic,19.79721,MOVING,-9.108356e-08,-0.4499575,0.4999999,0,0,0
MediumVisual_LightHaptic,19.81108,MOVING,-3.396397e-08,-0.4499848,0.5,0,0,0
MediumVisual_LightHaptic,19.82523,MOVING,-1.541754e-08,-0.4499957,0.5,0,0,0
MediumVisual_LightHaptic,19.83911,MOVING,-2.652878e-08,-0.4499987,0.5,0,1,0
MediumVisual_LightHaptic,19.85299,MOVING,-2.887199e-08,-0.4499995,0.5,0,2,0
MediumVisual_LightHaptic,19.86733,MOVING,-3.950606e-08,-0.4499999,0.5,0,3,0
MediumVisual_LightHaptic,19.88142,MOVING,-5.586902e-08,-0.45,0.5,0,4,0
